,A_i-1,A_i,evalA_i-1,evalA_i,B_i-1,B_i,evalB_i-1,evalB_i,C_i-1,C_i,evalC_i-1,evalC_i
1773,?,?,0,1,?,?,?,?,?,?,?,?
1774,?,?,1,1,?,?,?,?,?,?,?,?
1775,?,?,1,1,?,?,?,?,?,?,?,?
1776,?,?,1,1,?,?,?,?,?,?,?,?
1777,?,?,1,?,?,?,?,1,?,?,?,?
1778,?,?,?,?,?,?,1,0,?,?,?,?
1779,?,?,?,?,?,?,0,1,?,?,?,?
1780,?,?,?,?,?,?,1,1,?,?,?,?
1781,?,?,?,?,?,?,1,1,?,?,?,?
1782,?,?,?,?,?,?,?,?,?,?,0,1
1783,?,?,?,?,?,?,?,?,?,?,1,1
1784,?,?,?,?,?,?,?,?,?,?,1,0
1785,?,?,?,?,?,?,?,?,?,?,0,0
1786,?,?,?,1,?,?,?,?,?,?,0,?
1787,?,?,1,0,?,?,?,?,?,?,?,?
1788,?,?,0,1,?,?,?,?,?,?,?,?
1789,?,?,1,0,?,?,?,?,?,?,?,?
1790,?,?,0,0,?,?,?,?,?,?,?,?
1791,?,?,0,1,?,?,?,?,?,?,?,?
1792,?,?,1,1,?,?,?,?,?,?,?,?
1793,?,?,1,1,?,?,?,?,?,?,?,?
1794,?,?,1,1,?,?,?,?,?,?,?,?
1795,?,?,1,0,?,?,?,?,?,?,?,?
1796,?,?,0,0,?,?,?,?,?,?,?,?
1797,?,?,0,0,?,?,?,?,?,?,?,?
1798,?,?,0,0,?,?,?,?,?,?,?,?
1799,?,?,0,1,?,?,?,?,?,?,?,?
1800,?,?,1,0,?,?,?,?,?,?,?,?
1801,?,?,0,0,?,?,?,?,?,?,?,?
1802,?,?,0,1,?,?,?,?,?,?,?,?
1803,?,?,1,1,?,?,?,?,?,?,?,?
1804,?,?,1,0,?,?,?,?,?,?,?,?
1805,?,?,0,0,?,?,?,?,?,?,?,?
1806,?,?,0,0,?,?,?,?,?,?,?,?
1807,?,?,0,1,?,?,?,?,?,?,?,?
1808,?,?,1,0,?,?,?,?,?,?,?,?
1809,?,?,0,0,?,?,?,?,?,?,?,?
1810,?,?,0,?,?,?,?,1,?,?,?,?
1811,?,?,?,?,?,?,1,1,?,?,?,?
1812,?,?,?,?,?,?,1,1,?,?,?,?
1813,?,?,?,?,?,?,1,0,?,?,?,?
1814,?,?,?,?,?,?,0,1,?,?,?,?
1815,?,?,?,?,?,?,?,?,?,?,0,0
1816,?,?,?,?,?,?,?,?,?,?,0,1
1817,?,?,?,?,?,?,?,?,?,?,1,1
1818,?,?,?,?,?,?,?,?,?,?,1,0
1819,?,?,?,?,?,?,0,1,?,?,?,?
1820,?,?,?,?,?,?,1,1,?,?,?,?
1821,?,?,?,?,?,?,1,1,?,?,?,?
1822,?,?,?,?,?,?,1,1,?,?,?,?
1823,?,?,?,?,?,?,1,1,?,?,?,?
1824,?,?,?,?,?,?,1,1,?,?,?,?
1825,?,?,?,?,?,?,1,1,?,?,?,?
1826,?,?,?,?,?,?,1,0,?,?,?,?
1827,?,?,?,?,?,?,0,1,?,?,?,?
1828,?,?,?,?,?,?,1,1,?,?,?,?
1829,?,?,?,?,?,?,1,1,?,?,?,?
1830,?,?,?,?,?,?,1,1,?,?,?,?
1831,?,?,?,?,?,?,1,0,?,?,?,?
1832,?,?,?,1,?,?,0,?,?,?,?,?
1833,?,?,1,0,?,?,?,?,?,?,?,?
1834,?,?,0,1,?,?,?,?,?,?,?,?
1835,?,?,1,1,?,?,?,?,?,?,?,?
1836,?,?,1,0,?,?,?,?,?,?,?,?
1837,?,?,0,1,?,?,?,?,?,?,?,?
1838,?,?,1,1,?,?,?,?,?,?,?,?
1839,?,?,1,1,?,?,?,?,?,?,?,?
1840,?,?,1,1,?,?,?,?,?,?,?,?
1841,?,?,1,0,?,?,?,?,?,?,?,?
1842,?,?,?,?,?,?,?,?,?,?,1,1
1843,?,?,?,?,?,?,?,?,?,?,1,0
1844,?,?,?,?,?,?,?,?,?,?,0,0
1845,?,?,?,?,?,?,?,?,?,?,0,1
1846,?,?,?,?,?,?,?,?,?,?,1,0
1847,?,?,?,?,?,?,?,?,?,?,0,1
1848,?,?,?,?,?,?,?,?,?,?,1,1
1849,?,?,?,?,?,?,?,?,?,?,1,0
1850,?,?,?,?,?,?,?,?,?,?,0,0
1851,?,?,?,?,?,?,?,1,?,?,0,?
1852,?,?,?,?,?,?,1,1,?,?,?,?
1853,?,?,?,?,?,?,1,1,?,?,?,?
1854,?,?,?,?,?,?,1,1,?,?,?,?
1855,?,?,?,?,?,?,1,1,?,?,?,?
1856,?,?,?,?,?,?,1,?,?,?,?,0
1857,?,?,?,?,?,?,?,?,?,?,0,0
1858,?,?,?,?,?,?,?,?,?,?,0,1
1859,?,?,?,?,?,?,?,?,?,?,1,1
1860,?,?,?,?,?,?,?,?,?,?,1,1
1861,?,?,?,1,?,?,?,?,?,?,1,?
1862,?,?,1,1,?,?,?,?,?,?,?,?
1863,?,?,1,1,?,?,?,?,?,?,?,?
1864,?,?,1,1,?,?,?,?,?,?,?,?
1865,?,?,1,1,?,?,?,?,?,?,?,?
1866,?,?,1,?,?,?,?,1,?,?,?,?
1867,?,?,?,?,?,?,1,1,?,?,?,?
1868,?,?,?,?,?,?,1,1,?,?,?,?
1869,?,?,?,?,?,?,1,1,?,?,?,?
1870,?,?,?,?,?,?,1,1,?,?,?,?
1871,?,?,?,?,?,?,?,?,?,?,1,1
1872,?,?,?,?,?,?,?,?,?,?,1,0
1873,?,?,?,?,?,?,?,?,?,?,0,1
1874,?,?,?,?,?,?,?,?,?,?,1,0
1875,?,?,?,?,?,?,?,?,?,?,0,0
1876,?,?,?,?,?,?,?,?,?,?,0,0
1877,?,?,?,?,?,?,?,?,?,?,0,1
1878,?,?,?,?,?,?,?,?,?,?,1,0
1879,?,?,?,?,?,?,?,?,?,?,0,1
1880,?,?,?,?,?,?,?,?,?,?,1,1
1881,?,?,?,?,?,?,?,?,?,?,1,0
1882,?,?,?,?,?,?,?,?,?,?,0,1
1883,?,?,?,?,?,?,?,?,?,?,1,0
1884,?,?,?,?,?,?,?,?,?,?,0,0
1885,?,?,?,?,?,?,?,1,?,?,0,?
1886,?,?,?,?,?,?,1,1,?,?,?,?
1887,?,?,?,?,?,?,1,1,?,?,?,?
1888,?,?,?,?,?,?,1,1,?,?,?,?
1889,?,?,?,?,?,?,1,1,?,?,?,?
1890,?,?,1,0,?,?,?,?,?,?,?,?
1891,?,?,0,1,?,?,?,?,?,?,?,?
1892,?,?,1,1,?,?,?,?,?,?,?,?
1893,?,?,1,1,?,?,?,?,?,?,?,?
1894,?,?,1,?,?,?,?,?,?,?,?,1
1895,?,?,?,?,?,?,?,?,?,?,1,0
1896,?,?,?,?,?,?,?,?,?,?,0,0
1897,?,?,?,?,?,?,?,?,?,?,0,0
1898,?,?,?,?,?,?,?,?,?,?,0,0
1899,?,?,?,?,?,?,?,0,?,?,0,?
1900,?,?,?,?,?,?,0,1,?,?,?,?
1901,?,?,?,?,?,?,1,1,?,?,?,?
1902,?,?,?,?,?,?,1,0,?,?,?,?
1903,?,?,?,?,?,?,0,0,?,?,?,?
1904,?,?,?,0,?,?,0,?,?,?,?,?
1905,?,?,0,1,?,?,?,?,?,?,?,?
1906,?,?,1,1,?,?,?,?,?,?,?,?
1907,?,?,1,1,?,?,?,?,?,?,?,?
1908,?,?,1,0,?,?,?,?,?,?,?,?
1909,?,?,0,?,?,?,?,?,?,?,?,0
1910,?,?,?,?,?,?,?,?,?,?,0,1
1911,?,?,?,?,?,?,?,?,?,?,1,0
1912,?,?,?,?,?,?,?,?,?,?,0,1
1913,?,?,?,?,?,?,?,?,?,?,1,0
1914,?,?,?,?,?,?,?,?,?,?,1,1
1915,?,?,?,?,?,?,?,?,?,?,1,1
1916,?,?,?,?,?,?,?,?,?,?,1,1
1917,?,?,?,?,?,?,?,?,?,?,1,1
1918,?,?,?,?,?,?,?,?,?,?,1,0
1919,?,?,?,?,?,?,?,?,?,?,0,0
1920,?,?,?,?,?,?,?,?,?,?,0,1
1921,?,?,?,?,?,?,?,?,?,?,1,0
1922,?,?,?,?,?,?,?,?,?,?,0,1
1923,?,?,?,1,?,?,?,?,?,?,1,?
1924,?,?,1,1,?,?,?,?,?,?,?,?
1925,?,?,1,0,?,?,?,?,?,?,?,?
1926,?,?,0,1,?,?,?,?,?,?,?,?
1927,?,?,1,1,?,?,?,?,?,?,?,?
1928,?,?,?,?,?,?,1,0,?,?,?,?
1929,?,?,?,?,?,?,0,0,?,?,?,?
1930,?,?,?,?,?,?,0,0,?,?,?,?
1931,?,?,?,?,?,?,0,1,?,?,?,?
1932,?,?,?,?,?,?,1,1,?,?,?,?
1933,?,?,?,?,?,?,1,1,?,?,?,?
1934,?,?,?,?,?,?,1,0,?,?,?,?
1935,?,?,?,?,?,?,0,0,?,?,?,?
1936,?,?,?,?,?,?,0,0,?,?,?,?
1937,?,?,?,?,?,?,0,?,?,?,?,0
1938,?,?,?,?,?,?,?,?,?,?,0,1
1939,?,?,?,?,?,?,?,?,?,?,1,0
1940,?,?,?,?,?,?,?,?,?,?,0,1
1941,?,?,?,?,?,?,?,?,?,?,1,0
1942,?,?,1,1,?,?,?,?,?,?,?,?
1943,?,?,1,0,?,?,?,?,?,?,?,?
1944,?,?,0,0,?,?,?,?,?,?,?,?
1945,?,?,0,0,?,?,?,?,?,?,?,?
1946,?,?,0,?,?,?,?,0,?,?,?,?
1947,?,?,?,?,?,?,0,1,?,?,?,?
1948,?,?,?,?,?,?,1,1,?,?,?,?
1949,?,?,?,?,?,?,1,1,?,?,?,?
1950,?,?,?,?,?,?,1,1,?,?,?,?
1951,?,?,1,0,?,?,?,?,?,?,?,?
1952,?,?,0,1,?,?,?,?,?,?,?,?
1953,?,?,1,1,?,?,?,?,?,?,?,?
1954,?,?,1,0,?,?,?,?,?,?,?,?
1955,?,?,?,?,?,?,?,?,?,?,0,1
1956,?,?,?,?,?,?,?,?,?,?,1,0
1957,?,?,?,?,?,?,?,?,?,?,0,1
1958,?,?,?,?,?,?,?,?,?,?,1,0
1959,?,?,?,?,?,?,?,?,?,?,0,1
1960,?,?,?,?,?,?,?,?,?,?,1,1
1961,?,?,?,?,?,?,?,?,?,?,1,1
1962,?,?,?,?,?,?,?,?,?,?,1,0
1963,?,?,?,?,?,?,?,?,?,?,0,1
1964,?,?,?,?,?,?,?,?,?,?,1,1
1965,?,?,?,?,?,?,?,?,?,?,1,1
1966,?,?,?,?,?,?,?,?,?,?,1,1
1967,?,?,?,?,?,?,?,?,?,?,1,1
1968,?,?,?,?,?,?,?,?,?,?,1,1
1969,?,?,?,1,?,?,?,?,?,?,1,?
1970,?,?,1,1,?,?,?,?,?,?,?,?
1971,?,?,1,1,?,?,?,?,?,?,?,?
1972,?,?,1,1,?,?,?,?,?,?,?,?
1973,?,?,1,1,?,?,?,?,?,?,?,?
1974,?,?,0,0,?,?,?,?,?,?,?,?
1975,?,?,0,1,?,?,?,?,?,?,?,?
1976,?,?,1,0,?,?,?,?,?,?,?,?
1977,?,?,0,0,?,?,?,?,?,?,?,?
1978,?,?,0,1,?,?,?,?,?,?,?,?
1979,?,?,1,0,?,?,?,?,?,?,?,?
1980,?,?,0,0,?,?,?,?,?,?,?,?
1981,?,?,0,1,?,?,?,?,?,?,?,?
1982,?,?,1,0,?,?,?,?,?,?,?,?
1983,?,?,0,?,?,?,?,?,?,?,?,0
1984,?,?,?,?,?,?,?,?,?,?,0,0
1985,?,?,?,?,?,?,?,?,?,?,0,1
1986,?,?,?,?,?,?,?,?,?,?,1,0
1987,?,?,?,?,?,?,?,?,?,?,0,0
1988,?,?,?,0,?,?,?,?,?,?,0,?
1989,?,?,0,0,?,?,?,?,?,?,?,?
1990,?,?,0,0,?,?,?,?,?,?,?,?
1991,?,?,0,0,?,?,?,?,?,?,?,?
1992,?,?,0,1,?,?,?,?,?,?,?,?
1993,?,?,1,1,?,?,?,?,?,?,?,?
1994,?,?,1,0,?,?,?,?,?,?,?,?
1995,?,?,0,0,?,?,?,?,?,?,?,?
1996,?,?,0,0,?,?,?,?,?,?,?,?
1997,?,?,0,0,?,?,?,?,?,?,?,?
1998,?,?,?,?,?,?,0,0,?,?,?,?
1999,?,?,?,?,?,?,0,0,?,?,?,?
2000,?,?,?,?,?,?,0,1,?,?,?,?
2001,?,?,?,?,?,?,1,0,?,?,?,?
2002,?,?,?,?,?,?,?,?,?,?,1,0
2003,?,?,?,?,?,?,?,?,?,?,0,0
2004,?,?,?,?,?,?,?,?,?,?,0,0
2005,?,?,?,?,?,?,?,?,?,?,0,0
2006,?,?,?,1,?,?,?,?,?,?,0,?
2007,?,?,1,0,?,?,?,?,?,?,?,?
2008,?,?,0,0,?,?,?,?,?,?,?,?
2009,?,?,0,0,?,?,?,?,?,?,?,?
2010,?,?,0,0,?,?,?,?,?,?,?,?
2011,?,?,0,0,?,?,?,?,?,?,?,?
2012,?,?,0,0,?,?,?,?,?,?,?,?
2013,?,?,0,0,?,?,?,?,?,?,?,?
2014,?,?,0,0,?,?,?,?,?,?,?,?
2015,?,?,0,0,?,?,?,?,?,?,?,?
2016,?,?,?,?,?,?,1,1,?,?,?,?
2017,?,?,?,?,?,?,1,1,?,?,?,?
2018,?,?,?,?,?,?,1,1,?,?,?,?
2019,?,?,?,?,?,?,1,1,?,?,?,?
2020,?,?,?,?,?,?,1,1,?,?,?,?
2021,?,?,?,?,?,?,1,0,?,?,?,?
2022,?,?,?,?,?,?,0,1,?,?,?,?
2023,?,?,?,?,?,?,1,1,?,?,?,?
2024,?,?,?,?,?,?,1,1,?,?,?,?
2025,?,?,?,?,?,?,?,?,?,?,0,1
2026,?,?,?,?,?,?,?,?,?,?,1,1
2027,?,?,?,?,?,?,?,?,?,?,1,0
2028,?,?,?,?,?,?,?,?,?,?,0,1
2029,?,?,?,?,?,?,?,?,?,?,1,1
2030,?,?,?,?,?,?,?,?,?,?,1,1
2031,?,?,?,?,?,?,?,?,?,?,1,1
2032,?,?,?,?,?,?,?,?,?,?,1,0
2033,?,?,?,?,?,?,?,?,?,?,0,0
2034,?,?,?,1,?,?,?,?,?,?,0,?
2035,?,?,1,1,?,?,?,?,?,?,?,?
2036,?,?,1,1,?,?,?,?,?,?,?,?
2037,?,?,1,0,?,?,?,?,?,?,?,?
2038,?,?,0,1,?,?,?,?,?,?,?,?
2039,?,?,1,?,?,?,?,0,?,?,?,?
2040,?,?,?,?,?,?,0,0,?,?,?,?
2041,?,?,?,?,?,?,0,0,?,?,?,?
2042,?,?,?,?,?,?,0,1,?,?,?,?
2043,?,?,?,?,?,?,1,1,?,?,?,?
2044,?,?,1,1,?,?,?,?,?,?,?,?
2045,?,?,1,1,?,?,?,?,?,?,?,?
2046,?,?,1,1,?,?,?,?,?,?,?,?
2047,?,?,1,0,?,?,?,?,?,?,?,?
2048,?,?,0,?,?,?,?,0,?,?,?,?
2049,?,?,?,?,?,?,0,0,?,?,?,?
2050,?,?,?,?,?,?,0,0,?,?,?,?
2051,?,?,?,?,?,?,0,0,?,?,?,?
2052,?,?,?,?,?,?,0,0,?,?,?,?
2053,?,?,0,1,?,?,?,?,?,?,?,?
2054,?,?,1,1,?,?,?,?,?,?,?,?
2055,?,?,1,0,?,?,?,?,?,?,?,?
2056,?,?,0,1,?,?,?,?,?,?,?,?
2057,?,?,1,0,?,?,?,?,?,?,?,?
2058,?,?,0,1,?,?,?,?,?,?,?,?
2059,?,?,1,1,?,?,?,?,?,?,?,?
2060,?,?,1,1,?,?,?,?,?,?,?,?
2061,?,?,1,1,?,?,?,?,?,?,?,?
2062,?,?,1,?,?,?,?,?,?,?,?,0
2063,?,?,?,?,?,?,?,?,?,?,0,1
2064,?,?,?,?,?,?,?,?,?,?,1,1
2065,?,?,?,?,?,?,?,?,?,?,1,1
2066,?,?,?,?,?,?,?,?,?,?,1,1
2067,?,?,?,?,?,?,?,?,?,?,1,0
2068,?,?,?,?,?,?,?,?,?,?,0,0
2069,?,?,?,?,?,?,?,?,?,?,0,0
2070,?,?,?,?,?,?,?,?,?,?,0,0
2071,?,?,?,?,?,?,?,?,?,?,0,0
2072,?,?,?,?,?,?,?,?,?,?,0,0
2073,?,?,?,?,?,?,?,?,?,?,0,1
2074,?,?,?,?,?,?,?,?,?,?,1,1
2075,?,?,?,?,?,?,?,?,?,?,1,1
2076,?,?,?,?,?,?,?,?,?,?,1,1
2077,?,?,?,?,?,?,?,?,?,?,1,0
2078,?,?,?,?,?,?,?,?,?,?,0,0
2079,?,?,?,?,?,?,?,?,?,?,0,0
2080,?,?,?,?,?,?,?,?,?,?,0,1
2081,?,?,?,?,?,?,?,1,?,?,1,?
2082,?,?,?,?,?,?,1,1,?,?,?,?
2083,?,?,?,?,?,?,1,0,?,?,?,?
2084,?,?,?,?,?,?,0,0,?,?,?,?
2085,?,?,?,?,?,?,0,1,?,?,?,?
2086,?,?,?,1,?,?,1,?,?,?,?,?
2087,?,?,1,1,?,?,?,?,?,?,?,?
2088,?,?,1,1,?,?,?,?,?,?,?,?
2089,?,?,1,1,?,?,?,?,?,?,?,?
2090,?,?,1,0,?,?,?,?,?,?,?,?
2091,?,?,0,?,?,?,?,?,?,?,?,0
2092,?,?,?,?,?,?,?,?,?,?,0,1
2093,?,?,?,?,?,?,?,?,?,?,1,0
2094,?,?,?,?,?,?,?,?,?,?,0,0
2095,?,?,?,?,?,?,?,?,?,?,0,0
2096,?,?,?,1,?,?,?,?,?,?,0,?
2097,?,?,1,0,?,?,?,?,?,?,?,?
2098,?,?,0,1,?,?,?,?,?,?,?,?
2099,?,?,1,0,?,?,?,?,?,?,?,?
2100,?,?,0,1,?,?,?,?,?,?,?,?
2101,?,?,1,1,?,?,?,?,?,?,?,?
2102,?,?,1,0,?,?,?,?,?,?,?,?
2103,?,?,0,1,?,?,?,?,?,?,?,?
2104,?,?,1,1,?,?,?,?,?,?,?,?
2105,?,?,1,0,?,?,?,?,?,?,?,?
2106,?,?,0,?,?,?,?,0,?,?,?,?
2107,?,?,?,?,?,?,0,1,?,?,?,?
2108,?,?,?,?,?,?,1,1,?,?,?,?
2109,?,?,?,?,?,?,1,1,?,?,?,?
2110,?,?,?,?,?,?,1,1,?,?,?,?
2111,?,?,?,?,?,?,0,1,?,?,?,?
2112,?,?,?,?,?,?,1,1,?,?,?,?
2113,?,?,?,?,?,?,1,0,?,?,?,?
2114,?,?,?,?,?,?,0,1,?,?,?,?
2115,?,?,?,?,?,?,1,?,?,?,?,0
2116,?,?,?,?,?,?,?,?,?,?,0,0
2117,?,?,?,?,?,?,?,?,?,?,0,1
2118,?,?,?,?,?,?,?,?,?,?,1,1
2119,?,?,?,?,?,?,?,?,?,?,1,1
2120,?,?,?,?,?,?,?,?,?,?,1,1
2121,?,?,?,?,?,?,?,?,?,?,1,1
2122,?,?,?,?,?,?,?,?,?,?,1,1
2123,?,?,?,?,?,?,?,?,?,?,1,0
2124,?,?,?,?,?,?,?,?,?,?,0,0
2125,?,?,?,?,?,?,?,1,?,?,0,?
2126,?,?,?,?,?,?,1,1,?,?,?,?
2127,?,?,?,?,?,?,1,1,?,?,?,?
2128,?,?,?,?,?,?,1,1,?,?,?,?
2129,?,?,?,?,?,?,1,1,?,?,?,?
2130,?,?,?,?,?,?,1,0,?,?,?,?
2131,?,?,?,?,?,?,0,1,?,?,?,?
2132,?,?,?,?,?,?,1,1,?,?,?,?
2133,?,?,?,?,?,?,1,1,?,?,?,?
2134,?,?,?,?,?,?,1,1,?,?,?,?
2135,?,?,?,?,?,?,?,?,?,?,0,0
2136,?,?,?,?,?,?,?,?,?,?,0,0
2137,?,?,?,?,?,?,?,?,?,?,0,0
2138,?,?,?,?,?,?,?,?,?,?,0,0
2139,?,?,?,0,?,?,?,?,?,?,0,?
2140,?,?,0,1,?,?,?,?,?,?,?,?
2141,?,?,1,0,?,?,?,?,?,?,?,?
2142,?,?,0,1,?,?,?,?,?,?,?,?
2143,?,?,1,1,?,?,?,?,?,?,?,?
2144,?,?,1,?,?,?,?,?,?,?,?,0
2145,?,?,?,?,?,?,?,?,?,?,0,1
2146,?,?,?,?,?,?,?,?,?,?,1,0
2147,?,?,?,?,?,?,?,?,?,?,0,1
2148,?,?,?,?,?,?,?,?,?,?,1,0
2149,?,?,?,0,?,?,?,?,?,?,0,?
2150,?,?,0,0,?,?,?,?,?,?,?,?
2151,?,?,0,1,?,?,?,?,?,?,?,?
2152,?,?,1,0,?,?,?,?,?,?,?,?
2153,?,?,0,1,?,?,?,?,?,?,?,?
2154,?,?,1,0,?,?,?,?,?,?,?,?
2155,?,?,0,1,?,?,?,?,?,?,?,?
2156,?,?,1,1,?,?,?,?,?,?,?,?
2157,?,?,1,0,?,?,?,?,?,?,?,?
2158,?,?,0,1,?,?,?,?,?,?,?,?
2159,?,?,0,1,?,?,?,?,?,?,?,?
2160,?,?,1,0,?,?,?,?,?,?,?,?
2161,?,?,0,0,?,?,?,?,?,?,?,?
2162,?,?,0,0,?,?,?,?,?,?,?,?
2163,?,?,0,?,?,?,?,?,?,?,?,0
2164,?,?,?,?,?,?,?,?,?,?,0,0
2165,?,?,?,?,?,?,?,?,?,?,0,1
2166,?,?,?,?,?,?,?,?,?,?,1,0
2167,?,?,?,?,?,?,?,?,?,?,0,0
2168,?,?,?,0,?,?,?,?,?,?,0,?
2169,?,?,0,1,?,?,?,?,?,?,?,?
2170,?,?,1,0,?,?,?,?,?,?,?,?
2171,?,?,0,0,?,?,?,?,?,?,?,?
2172,?,?,0,0,?,?,?,?,?,?,?,?
2173,?,?,1,0,?,?,?,?,?,?,?,?
2174,?,?,0,1,?,?,?,?,?,?,?,?
2175,?,?,1,0,?,?,?,?,?,?,?,?
2176,?,?,0,0,?,?,?,?,?,?,?,?
2177,?,?,1,1,?,?,?,?,?,?,?,?
2178,?,?,1,1,?,?,?,?,?,?,?,?
2179,?,?,1,1,?,?,?,?,?,?,?,?
2180,?,?,1,1,?,?,?,?,?,?,?,?
2181,?,?,1,1,?,?,?,?,?,?,?,?
2182,?,?,1,1,?,?,?,?,?,?,?,?
2183,?,?,1,1,?,?,?,?,?,?,?,?
2184,?,?,1,1,?,?,?,?,?,?,?,?
2185,?,?,1,1,?,?,?,?,?,?,?,?
2186,?,?,1,?,?,?,?,0,?,?,?,?
2187,?,?,?,?,?,?,0,1,?,?,?,?
2188,?,?,?,?,?,?,1,1,?,?,?,?
2189,?,?,?,?,?,?,1,0,?,?,?,?
2190,?,?,?,?,?,?,0,0,?,?,?,?
2191,?,?,?,?,?,?,?,?,?,?,1,0
2192,?,?,?,?,?,?,?,?,?,?,0,0
2193,?,?,?,?,?,?,?,?,?,?,0,0
2194,?,?,?,?,?,?,?,?,?,?,0,0
2195,?,?,?,?,?,?,?,?,?,?,0,1
2196,?,?,?,?,?,?,?,?,?,?,1,0
2197,?,?,?,?,?,?,?,?,?,?,0,1
2198,?,?,?,?,?,?,?,?,?,?,1,0
2199,?,?,?,?,?,?,?,?,?,?,0,0
2200,?,?,1,1,?,?,?,?,?,?,?,?
2201,?,?,1,0,?,?,?,?,?,?,?,?
2202,?,?,0,1,?,?,?,?,?,?,?,?
2203,?,?,1,1,?,?,?,?,?,?,?,?
2204,?,?,1,?,?,?,?,?,?,?,?,1
2205,?,?,?,?,?,?,?,?,?,?,1,0
2206,?,?,?,?,?,?,?,?,?,?,0,1
2207,?,?,?,?,?,?,?,?,?,?,1,1
2208,?,?,?,?,?,?,?,?,?,?,1,1
2209,?,?,?,?,?,?,?,?,?,?,0,0
2210,?,?,?,?,?,?,?,?,?,?,0,0
2211,?,?,?,?,?,?,?,?,?,?,0,0
2212,?,?,?,?,?,?,?,?,?,?,0,1
2213,?,?,?,?,?,?,0,1,?,?,?,?
2214,?,?,?,?,?,?,1,0,?,?,?,?
2215,?,?,?,?,?,?,0,1,?,?,?,?
2216,?,?,?,?,?,?,1,1,?,?,?,?
2217,?,?,?,1,?,?,1,?,?,?,?,?
2218,?,?,1,0,?,?,?,?,?,?,?,?
2219,?,?,0,1,?,?,?,?,?,?,?,?
2220,?,?,1,1,?,?,?,?,?,?,?,?
2221,?,?,1,1,?,?,?,?,?,?,?,?
2222,?,?,1,?,?,?,?,1,?,?,?,?
2223,?,?,?,?,?,?,1,0,?,?,?,?
2224,?,?,?,?,?,?,0,1,?,?,?,?
2225,?,?,?,?,?,?,1,0,?,?,?,?
2226,?,?,?,?,?,?,0,1,?,?,?,?
2227,?,?,0,0,?,?,?,?,?,?,?,?
2228,?,?,0,1,?,?,?,?,?,?,?,?
2229,?,?,1,1,?,?,?,?,?,?,?,?
2230,?,?,1,0,?,?,?,?,?,?,?,?
2231,?,?,0,?,?,?,?,0,?,?,?,?
2232,?,?,?,?,?,?,0,0,?,?,?,?
2233,?,?,?,?,?,?,0,0,?,?,?,?
2234,?,?,?,?,?,?,0,1,?,?,?,?
2235,?,?,?,?,?,?,1,0,?,?,?,?
2236,?,?,?,?,?,?,0,?,?,?,?,1
2237,?,?,?,?,?,?,?,?,?,?,1,0
2238,?,?,?,?,?,?,?,?,?,?,0,1
2239,?,?,?,?,?,?,?,?,?,?,1,1
2240,?,?,?,?,?,?,?,?,?,?,1,1
2241,?,?,?,0,?,?,?,?,?,?,1,?
2242,?,?,0,1,?,?,?,?,?,?,?,?
2243,?,?,1,0,?,?,?,?,?,?,?,?
2244,?,?,0,1,?,?,?,?,?,?,?,?
2245,?,?,1,1,?,?,?,?,?,?,?,?
2246,?,?,1,?,?,?,?,0,?,?,?,?
2247,?,?,?,?,?,?,0,0,?,?,?,?
2248,?,?,?,?,?,?,0,0,?,?,?,?
2249,?,?,?,?,?,?,0,0,?,?,?,?
2250,?,?,?,?,?,?,0,0,?,?,?,?
2251,?,?,?,?,?,?,?,?,?,?,0,0
2252,?,?,?,?,?,?,?,?,?,?,0,1
2253,?,?,?,?,?,?,?,?,?,?,1,1
2254,?,?,?,?,?,?,?,?,?,?,1,0
2255,?,?,?,?,?,?,0,0,?,?,?,?
2256,?,?,?,?,?,?,0,0,?,?,?,?
2257,?,?,?,?,?,?,0,0,?,?,?,?
2258,?,?,?,?,?,?,0,0,?,?,?,?
2259,?,?,?,?,?,?,0,?,?,?,?,0
2260,?,?,?,?,?,?,?,?,?,?,0,1
2261,?,?,?,?,?,?,?,?,?,?,1,1
2262,?,?,?,?,?,?,?,?,?,?,1,0
2263,?,?,?,?,?,?,?,?,?,?,0,1
2264,?,?,?,?,?,?,?,0,?,?,1,?
2265,?,?,?,?,?,?,0,0,?,?,?,?
2266,?,?,?,?,?,?,0,1,?,?,?,?
2267,?,?,?,?,?,?,1,1,?,?,?,?
2268,?,?,?,?,?,?,1,1,?,?,?,?
2269,?,?,?,?,?,?,0,0,?,?,?,?
2270,?,?,?,?,?,?,0,0,?,?,?,?
2271,?,?,?,?,?,?,0,0,?,?,?,?
2272,?,?,?,?,?,?,0,0,?,?,?,?
2273,?,?,?,?,?,?,0,0,?,?,?,?
2274,?,?,?,?,?,?,0,0,?,?,?,?
2275,?,?,?,?,?,?,0,0,?,?,?,?
2276,?,?,?,?,?,?,0,0,?,?,?,?
2277,?,?,?,?,?,?,0,1,?,?,?,?
2278,?,?,?,?,?,?,1,?,?,?,?,1
2279,?,?,?,?,?,?,?,?,?,?,1,0
2280,?,?,?,?,?,?,?,?,?,?,0,1
2281,?,?,?,?,?,?,?,?,?,?,1,0
2282,?,?,?,?,?,?,?,?,?,?,0,0
2283,?,?,?,?,?,?,?,1,?,?,0,?
2284,?,?,?,?,?,?,1,0,?,?,?,?
2285,?,?,?,?,?,?,0,0,?,?,?,?
2286,?,?,?,?,?,?,0,0,?,?,?,?
2287,?,?,?,?,?,?,0,0,?,?,?,?
